Material,SiO2,TiO2,Al2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,SO2,SO3,V2O3,V2O5,ZnO,Fe,Ni,Co,S
GL,50.61,2.28,18.34,,,6.84,,,0.12,4.73,7.93,,4.49,2.28,0.75,,,,,,,,,,,,42.9,21.6,
GL,49.99,2.29,18.31,,,6.87,,,0.13,4.76,7.94,,4.47,2.27,0.77,,,,,,,,,,,,,,
GL,48.91,1.69,17.04,,,8.31,,,0.13,7.51,11.1,,2.97,0.82,0.4,,,,,,,,,,,,144,37.7,
GL,48.89,1.69,17.09,,,8.32,,,0.14,7.55,11.05,,2.93,0.81,0.39,,,,,,,,,,,,,,
GL,48.86,1.68,17.07,,,8.31,,,0.16,7.48,11.06,,2.93,0.81,0.39,,,,,,,,,,,,160,38.5,
GL,48.54,2,17.58,,,7.99,,,0.14,7.12,10.46,,3.37,1.06,0.46,,,,,,,,,,,,116,33.9,
GL,48.79,2,17.71,,,8.05,,,0.14,6.95,10.44,,3.28,1.05,0.46,,,,,,,,,,,,,,
GL,49.78,2.02,16.69,,,8.81,,,0.17,5.98,9.63,,3.36,1.16,0.44,,,,,,,,,,,,121,33.4,
GL,50.19,2.04,16.76,,,8.84,,,0.18,5.94,9.64,,3.33,1.15,0.45,,,,,,,,,,,,,,
GL,50.46,2.02,16.83,,,8.74,,,0.16,5.97,9.64,,3.31,1.15,0.45,,,,,,,,,,,,,,
GL,48.72,1.69,17.11,,,8.31,,,0.15,7.43,11.01,,2.87,0.79,0.39,,,,,,,,,,,,,,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,32.8,
WR,41.63,2.28,15.81,11.27,,,,,0.09,9.22,5.18,,2.38,0.16,0.029,,12,,,,,,,,,,134,45.1,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,167,45.1,
WR,,,,,,,,,,,,,,,,,,,,,,,,,,,167,56.5,
WR,44.97,3.02,15.46,11.61,,,,,0.12,4.41,11.66,,2.25,1.49,0.82,,2.35,,,,,,,,,,70.6,40.8,
WR,48.29,5.1,18.77,8.98,,,,,0.07,1.23,5.78,,4.43,1.53,1.01,,3.3,,,,,,,,,,9.17,13.8,
WR,47.12,5.09,18.33,11.16,,,,,0.08,1.36,4.87,,3.83,1.7,0.84,,4.51,,,,,,,,,,8.63,12.7,
WR,47.04,5.2,18.42,10.98,,,,,0.09,1.22,4.9,,3.8,1.84,0.86,,4.45,,,,,,,,,,20,13.9,
WR,45.58,3.53,14.4,13.52,,,,,0.19,5.25,10.78,,3.09,1.39,0.67,,0.03,,,,,,,,,,45.7,43.7,
WR,44.85,3.89,15.95,13.06,,,,,0.17,3.97,10.54,,3.03,1.32,0.72,,0.76,,,,,,,,,,43.6,38.4,
WR,44.69,4.16,15.45,12.42,,,,,0.16,3.87,10.78,,2.93,1.26,0.96,,1.28,,,,,,,,,,36.3,35.9,
WR,43.3,4.23,16.83,12.37,,,,,0.14,2.63,9.99,,3.11,1.43,1.83,,2.36,,,,,,,,,,41.4,30.1,
WR,37.68,5.17,16.58,16.34,,,,,0.15,2.1,8.14,,2.72,1.37,1.98,,4,,,,,,,,,,83.3,33.9,
WR,42.98,2.71,13.84,11.26,,,,,0.1,6.4,12.92,,2.29,0.98,0.46,,2.9,,,,,,,,,,137,39,
WR,37.88,3.07,13.35,10.45,,,,,0.19,1.94,14.16,,3.41,2.1,5.66,,6.03,,,,,,,,,,72.8,19.3,
WR,42.56,3.62,15.49,14.22,,,,,0.16,4.81,11.37,,2.29,0.79,0.66,,6,,,,,,,,,,59.7,40.1,
WR,41.08,3.46,16.38,14.06,,,,,0.13,3.43,10.79,,2.24,1.19,1.34,,8,,,,,,,,,,75.5,37.7,
WR,40.68,3.86,15.11,13.88,,,,,0.17,4.17,11.27,,2.35,1.19,1.86,,7,,,,,,,,,,91.4,41.6,
WR,46.55,2.03,14.36,11.54,,,,,0.16,6.79,10.55,,2.87,0.5,0.34,,2.08,,,,,,,,,,183,44.6,
WR,31.4,2.86,14.53,10.78,,,,,0.14,1.37,18.69,,2.59,1.2,4.11,,9.91,,,,,,,,,,60.7,19.3,
WR,41.71,3.94,16.77,12.75,,,,,0.18,4.07,10.49,,2.67,1.04,0.99,,3.53,,,,,,,,,,29.9,34,
WR,46.95,3.17,16.7,11.88,,,,,0.17,3.04,8.31,,4.13,1.74,1.08,,4,,,,,,,,,,12.4,18.3,
WR,52.84,1.35,17.86,9,,,,,0.19,1.09,4.89,,5.36,2.76,1,,1.92,,,,,,,,,,21.7,7.66,
WR,41.82,4.83,16.56,14.62,,,,,0.17,3.03,9.9,,2.96,1.33,1.21,,2.03,,,,,,,,,,47.9,40.7,
WR,56.42,0.85,17.59,8.07,,,,,0.24,0.93,3.04,,6.34,3.34,0.3,,1.09,,,,,,,,,,0.359,1.21,
WR,48.59,2.56,17.3,11.03,,,,,0.18,2.46,7.67,,4.26,2.14,1.11,,1.58,,,,,,,,,,1.68,15.7,
WR,45.55,2.67,17.75,11.81,,,,,0.17,2.81,7.81,,3.8,1.51,1.26,,2.57,,,,,,,,,,20.1,18.2,
WR,48.23,2.45,17.51,10.65,,,,,0.15,2.17,6.89,,4.45,2.48,1.28,,1.95,,,,,,,,,,31.9,16.7,
WR,36.06,3.51,12.38,13.03,,,,,0.15,3.05,12.75,,2.46,2.44,4.71,,7.89,,,,,,,,,,85.8,42.6,
WR,35.21,3.3,11.5,13.74,,,,,0.16,3.68,14.51,,2.34,2.16,4.87,,5.81,,,,,,,,,,90.4,49,
WR,33.68,3.05,10.93,11.8,,,,,0.16,2.69,15.49,,2.63,2.85,6.88,,6.68,,,,,,,,,,76.2,45.4,
WR,35.99,3.84,13.04,13.53,,,,,0.16,3,13.58,,2.42,1.85,4.58,,6.31,,,,,,,,,,72.9,39.9,
WR,33.37,4.55,12.15,14.08,,,,,0.24,3.92,17.64,,1.58,1.34,1.32,,10.72,,,,,,,,,,141,67.2,
WR,37.03,3.17,13.67,14.09,,,,,0.15,6.12,13.6,,1.13,0.88,1.32,,7.95,,,,,,,,,,131,43.7,
WR,37.81,3.04,13.22,13.9,,,,,0.14,5.26,11.93,,1.61,1.57,2.02,,18.16,,,,,,,,,,115,46.3,
WR,43.72,2.67,12.66,12.64,,,,,0.15,2.67,3.96,,2.93,3.73,1.44,,14.6,,,,,,,,,,108,40.4,
WR,37.04,4.55,16.35,13.27,,,,,0.16,2.66,11.91,,2.47,1.26,1.32,,5.42,,,,,,,,,,62,35.3,
WR,37.42,4.03,13.69,16.31,,,,,0.24,4.3,12.05,,1.85,1.03,2.32,,5.11,,,,,,,,,,146,66.5,
WR,36.84,3.8,12.54,13.73,,,,,0.21,4.58,15.7,,1.65,0.94,1.01,,3.52,,,,,,,,,,102,57.5,
WR,34.97,3.79,12.74,11.21,,,,,0.15,3.38,19.57,,1.99,1.01,1.27,,2.22,,,,,,,,,,52.7,33.5,
WR,41.85,4,15.95,13.05,,,,,0.17,4.27,10.32,,3.92,1.38,1.23,,2.59,,,,,,,,,,21,32.7,
WR,36.4,3.27,9.91,14.89,,,,,0.22,10.17,14.2,,1.43,1,0.76,,5.19,,,,,,,,,,387,75.8,
WR,35.45,3.56,10.62,15.83,,,,,0.22,8.59,14.25,,0.95,0.74,1.05,,7.18,,,,,,,,,,313,72.9,
WR,36.62,3.39,10.42,15.67,,,,,0.2,10.49,12.88,,1.12,0.86,0.91,,5.67,,,,,,,,,,343,80.2,
WR,35.29,3.6,11,16.14,,,,,0.48,6.76,13.25,,0.92,1.18,1.53,,5.83,,,,,,,,,,279,132,
WR,42.28,4.17,14.96,13.64,,,,,0.19,5.96,9.7,,3,1.32,0.8,,2.22,,,,,,,,,,31.3,39.7,
WR,41.93,2.32,8.8,14.8,,,,,0.18,16.75,8.64,,1.58,0.66,0.45,,3.92,,,,,,,,,,656,98,
WR,41.6,2.51,9.4,15.16,,,,,0.18,14.71,9.26,,1.68,0.72,0.52,,1.62,,,,,,,,,,563,96.3,
WR,41.83,2.56,11.92,10.45,,,,,0.14,7.43,14.42,,2.12,1.27,0.45,,6.6,,,,,,,,,,256,44.9,
WR,41.16,2.54,11.75,10.7,,,,,0.14,7.08,15,,2.14,1.47,0.45,,5.45,,,,,,,,,,244,44,
WR,43.56,3.61,14.58,12.4,,,,,0.18,5.54,10.7,,2.41,1.29,0.64,,4.2,,,,,,,,,,166,48.4,
WR,32.87,2.47,12.71,9.72,,,,,0.17,2.14,17.51,,2.44,2.13,5.4,,6.79,,,,,,,,,,54.8,17.1,
WR,26.16,2.04,9.79,7.78,,,,,0.14,1.87,26.1,,2.17,2.04,3.88,,10.86,,,,,,,,,,39.2,14,
WR,53.03,1.26,17.66,8.85,,,,,0.22,1.64,4.53,,5.6,2.63,0.48,,2.23,,,,,,,,,,1.87,7.34,
WR,49.15,0.18,13.62,,,,9.22,,0.15,11.65,10.28,,1.66,0.4,0.03,,,2.39,,,,,,,,,374,50.2,
WR,48.89,0.23,13.24,,,,9.07,,0.17,13.39,11.35,,1.44,0.13,0.03,,,1.15,,,,,,,,,401,59.2,
GL,51.68,0.42,14.93,,,,8.95,,0.15,9.52,12.44,,1.57,0.16,0.04,,,0.25,,,,,,,,,154,45.3,0.053
WR,50.04,0.45,14.95,,,,8.77,,0.13,9.31,11.65,,1.64,0.92,0.07,,,1.62,,,,,,,,,246,43.9,
WR,48.96,0.41,13.94,,,,9.34,,0.16,11.15,11.28,,1.65,0.38,0.07,,,2.13,,,,,,,,,270,49.2,
GL,51.22,0.43,14.93,,,,8.9,,0.15,9.32,12.51,,1.55,0.17,0.09,,,0.26,,,,,,,,,189,49.4,0.053
GL,51.66,0.42,14.98,,,,8.9,,0.18,9.23,12.55,,1.57,0.17,0.08,,,0.25,,,,,,,,,190,54.7,0.054
WR,48.21,0.4,13.53,,,,9.3,,0.16,11.44,11.67,,1.48,0.33,0.08,,,2.04,,,,,,,,,,,
WR,62.76,0.87,11.97,,,,8.46,,0.04,6.46,0.24,,2.95,0.28,0.13,,,4.48,,,,,,,,,130,33.6,
WR,49.91,1.14,14.51,,,,9.62,,0.16,8.54,11.63,,2.42,0.32,0.11,,,1.29,,,,,,,,,138,42.7,
WR,49.61,0.52,16.03,,,,11.4,,0.08,6.19,8.26,,2.4,1.41,0.12,,,3.49,,,,,,,,,166,25.5,
WR,49.33,0.98,15.21,,,,9.87,,0.15,8.28,7.19,,4.44,0.29,0.1,,,3.77,,,,,,,,,115,42,
WR,51.16,1.31,13.93,,,,11.61,,0.23,6.91,10.88,,2.22,0.23,0.13,,,0.61,,,,,,,,,94.9,54.2,
WR,50.14,1.31,14,,,,12.21,,0.21,6.93,10.96,,2.46,0.23,0.13,,,0.7,,,,,,,,,,,
GL,52.25,1.34,13.76,,,,12.36,,0.2,6.75,10.53,,2.22,0.2,0.1,,,0.184,,,,,,,,,148,86.1,0.05
WR,48.74,1.4,15.13,,,,11.8,,0.23,6.81,10,,2.7,0.37,0.15,,,1.44,,,,,,,,,83.8,46.2,
WR,49.7,1.47,16.49,,,,9.92,,0.14,6.15,10.24,,2.95,0.44,0.17,,,1.29,,,,,,,,,85.5,44.5,
GL,50.75,1.78,14.04,,,,11.48,,0.19,6.91,11.4,,2.87,0.16,0.18,,,,,,0.16,,,,,,50.45,48.49,
GL,50.82,1.79,14.18,,,,11.57,,0.22,6.83,11.44,,2.87,0.17,0.18,,,,,,0.17,,,,,,,,
GL,50.9,0.93,15.6,0.65,,8.08,,,0.16,9,12.7,,2.18,0.03,0.07,,,0.1,,,,,,,,,108,42,0.09
GL,50.9,1.93,14.3,1.94,,9.34,,,0.2,7.1,11.2,,2.95,0.08,0.18,,,0.25,,,,,,,,,60,53,0.13
GL,50.6,1.71,14.6,1.64,,8.98,,,0.19,7.64,11.7,,2.69,0.07,0.15,,,0.19,,,,,,,,,83,39,0.12
GL,51.2,1.8,14.1,2.37,,9.24,,,0.21,7.19,11.2,,2.79,0.07,0.15,,,0.22,,,,,,,,,61,56,0.13
GL,49.9,3.31,12.1,2.43,,13.7,,,0.27,4.01,8.3,,3.46,0.29,0.4,,,0.22,,,,,,,,,23,49,0.67
GL,50.8,3.37,12.3,2.07,,14.2,,,0.28,4.1,8.4,,3.54,0.3,0.39,,,0.2,,,,,,,,,23,47,0.64
GL,51.4,1.76,14.3,2.06,,9.25,,,0.21,7.15,11.4,,2.88,0.08,0.15,,,0.19,,,,,,,,,58,56,0.13
GL,51.6,1.26,14.9,2.1,,7.57,,,0.19,7.89,12.1,,2.73,0.05,0.1,,,0.17,,,,,,,,,66,51,0.09
WR,50.4,2.56,13,2.67,,11.33,,,0.24,5.82,9.8,,3,0.13,0.24,,,0.42,,,,,,,,,48,44,0.16
WR,50.8,2.49,13.2,2.75,,11.24,,,0.24,5.9,10,,2.69,0.13,0.23,,,0.45,,,,,,,,,47,43,0.15
GL,49.9,1.67,15.4,1.89,,8.54,,,0.19,7.92,11.5,,2.92,0.1,0.15,,,0.35,,,,,,,,,103,54,0.11
GL,50.8,1.66,14.4,1.76,,9.12,,,0.2,7.04,11.5,,3.03,0.1,0.14,,,0.14,,,,,,,,,51,48,0.33
WR,50.7,1.66,14.5,2.36,,8.58,,,0.2,7.13,11.7,,3.09,0.13,0.14,,,0.2,,,,,,,,,46,46,0.11
GL,50.7,1.6,14.6,1.88,,8.7,,,0.19,7.3,11.8,,3.1,0.13,0.14,,,0.1,,,,,,,,,55,54,0.19
GL,49.9,2,13.8,2.43,,10.4,,,0.22,6.61,11.2,,2.89,0.14,0.17,,,0.28,,,,,,,,,53,53,0.15
GL,49.7,3.16,12.3,2.71,,13.7,,,0.27,4.87,8.91,,3.19,0.23,0.38,,,0.48,,,,,,,,,28,54,0.2
GL,50.7,1.62,14.2,1.84,,9.23,,,0.2,7.35,11.7,,2.62,0.08,0.12,,,0.29,,,,,,,,,65,49,0.13
GL,50,1.48,14.6,1.41,,8.72,,,0.19,7.82,12.1,,2.43,0.08,0.12,,,0.23,,,,,,,,,84,,0.12
GL,50.7,1.5,14.7,1.96,,8.41,,,0.19,7.9,12.2,,2.45,0.1,0.12,,,0.18,,,,,,,,,83,45,0.11
GL,50.4,1.38,15.1,1.42,,8.53,,,0.18,8.17,12,,2.41,0.09,0.11,,,0.17,,,,,,,,,95,46,0.12
GL,50.5,1.46,14.9,1.72,,8.44,,,0.18,8,12,,2.49,0.07,0.11,,,0.21,,,,,,,,,95,45,0.11
GL,50.4,2.27,13.5,2.42,,10.6,,,0.22,6.41,10.6,,2.82,0.14,0.2,,,0.33,,,,,,,,,52,48,0.17
WR,50.3,1.75,14.1,2.28,,9.2,,,0.2,7.19,11.5,,2.62,0.09,0.14,,,0.2,,,,,,,,,72,46,0.13
GL,46.41,2.11,11.16,,,,11.57,,0.22,4.55,12.82,,3.25,0.12,0.24,,,,,,,,,,,,,,
WR,49.7,1.52,15.2,1.22,,7.81,,,0.18,7.79,11.9,,2.73,0.19,0.15,,,0.27,,,,,,,,,90,45,0.1
GL,50.2,1.59,14.7,1.64,,8.6,,,0.18,7.56,11.7,,2.76,0.12,0.15,,,0.27,,,,,,,,,79,44,0.1
GL,50.4,1.55,14.7,1.73,,8.7,,,0.18,7.69,11.7,,2.72,0.12,0.14,,,0.25,,,,,,,,,82,44,0.13
GL,50.5,1.57,14.7,1.78,,8.66,,,0.18,7.56,11.8,,2.71,0.11,0.14,,,0.31,,,,,,,,,81,,0.11
GL,50.4,1.61,14.8,1.92,,8.35,,,0.18,7.51,11.8,,2.79,0.11,0.16,,,0.35,,,,,,,,,79,,0.11
WR,50.4,1.8,13.9,2.12,,9.7,,,0.21,6.95,11.3,,2.76,0.11,0.15,,,0.2,,,,,,,,,59,49,0.12
WR,49.9,1.28,15.6,1.49,,7.84,,,0.17,8.07,12.2,,2.69,0.08,0.11,,,0.17,,,,,,,,,92,43,0.1
WR,50.1,1.42,14.8,1.89,,8.47,,,0.19,7.79,12,,2.59,0.11,0.12,,,0.23,,,,,,,,,75,47,0.1
GL,50.7,1.6,14.4,1.94,,8.78,,,0.19,7.59,11.8,,2.62,0.12,0.14,,,0.32,,,,,,,,,73,44,0.1
WR,51.2,1.63,14.2,2.07,,9.03,,,0.2,6.87,11,,2.91,0.2,0.19,,,0.31,,,,,,,,,60,44,0.12
WR,50.6,1.75,14.1,2.19,,9.19,,,0.2,7.07,11.3,,2.75,0.13,0.15,,,0.19,,,,,,,,,56,49,0.13
WR,50.6,2.36,13.1,3.33,,10.68,,,0.24,5.88,10,,3,0.17,0.22,,,0.37,,,,,,,,,29,,0.18
GL,50.6,2.33,13.2,2.65,,11.3,,,0.24,5.94,10,,3.01,0.16,0.21,,,0.34,,,,,,,,,33,53,0.15
GL,60.7,1.96,14,2,,9.54,,,0.2,7.03,11.3,,2.71,0.11,0.17,,,0.31,,,,,,,,,61,47,0.15
WR,50.8,1.84,14,2.5,,8.86,,,0.2,7.05,11.2,,2.88,0.3,0.21,,,0.31,,,,,,,,,55,,0.15
GL,49.97,1.82,15.1,,,,10.58,,0.23,6.62,11.12,,2.72,0.39,0.23,,,0.72,,,,,,,,,66.3,39.6,1164
GL,48.16,1.4,16.24,,,,10.16,,0.16,8.44,11.85,,2.49,0.38,0.12,,,0.41,,,,,,,,,141,47.4,1196
GL,49.94,1.56,15.67,,,,9.57,,0.19,7.2,11.96,,2.65,0.38,0.19,,,0.81,,,,,,,,,67.5,36.1,1075
GL,49.79,1.52,15.68,,,,9.61,,0.17,7.22,12.21,,2.56,0.38,0.18,,,0.71,,,,,,,,,118,42.7,1060
GL,48.28,1.51,16.47,,,,10,,0.18,7.98,12.07,,2.54,0.47,0.18,,,0.49,,,,,,,,,117,44.2,1202
GL,50.1,1.56,15.8,,,,10.05,,0.18,7.12,11.8,,2.77,0.4,0.21,,,,,,,,,,,,74.6,39.8,1001.4
GL,49.94,1.56,15.76,,,,9.54,,0.18,7.21,12.09,,2.59,0.41,0.18,,,0.75,,,,,,,,,68.1,38.2,1063
GL,48.3,1.45,17,,,,10.17,,0.18,8.6,12.1,,2.72,0.09,0.11,,,,,,,,,,,,157,53.4,989
GL,48.4,1.42,16.92,,,,9.65,,0.16,8.6,12.38,,2.48,0.09,0.14,,,0.25,,,,,,,,,182,48.7,1005
GL,49.29,1.6,15.99,,,,10.04,,0.19,7.65,11.67,,2.62,0.24,0.14,,,0.48,,,,,,,,,99.3,38.5,1065
GL,49.01,1.61,16.34,,,,9.76,,0.17,8.45,11.85,,2.46,0.31,0.18,,,0.38,,,,,,,,,246,50.3,1022
GL,48.83,1.61,16.25,,,,9.77,,0.18,8.54,11.86,,2.48,0.29,0.16,,,0.37,,,,,,,,,166,44.3,1000
GL,49.82,1.44,15.61,,,,9.51,,0.2,7.71,12.81,,2.4,0.26,0.15,,,0.63,,,,,,,,,104.6,47,1054
GL,50.92,2.06,15.1,,,,10.92,,0.21,5.55,10.38,,3.08,0.55,0.27,,,1.23,,,,,,,,,45.7,34.2,1245
GL,48.1,1.75,16.2,,,,11.1,,0.23,7.58,11.6,,2.98,0.3,0.17,,,,,,,,,,,,87.8,52,1222
GL,48.61,1.75,16.29,,,,10.4,,0.19,7.36,12.01,,2.85,0.27,0.16,,,0.35,,,,,,,,,78,43.8,1237
GL,50.05,2,15.21,,,,10.82,,0.2,6.85,11.08,,2.91,0.31,0.2,,,0.62,,,,,,,,,82.6,42.4,1280
GL,49,1.52,15.9,,,,10.52,,0.17,8.75,11,,2.57,0.15,0.12,,,,,,,,,,,,528,79.7,1106.2
GL,49,1.51,15.86,,,,10.59,,0.18,9.1,11.27,,2.4,0.15,0.09,,,0.4,,,,,,,,,176,48.7,1162
GL,49.63,2.13,14.18,,,,12.73,,0.23,5.99,10.95,,3.17,0.27,0.18,,,0.55,,,,,,,,,36.4,43.8,1622
GL,47.62,1.4,17.36,,,,8.99,,0.17,8.41,12.91,,2.22,0.49,0.14,,,0.65,,,,,,,,,165,47.8,953
GL,49.12,1.14,16.61,,,,8.55,,0.16,9.11,13.09,,2.09,0.09,0.09,,,0.21,,,,,,,,,113,39.7,828
GL,49,1.63,15.5,,,,11.39,,0.18,7.28,11.6,,2.94,0.2,0.14,,,,,,,,,,,,77.7,50.2,1065.6
GL,49.46,1.82,15.17,,,,11.07,,0.22,7.05,12.05,,2.97,0.21,0.15,,,0.45,,,,,,,,,54.6,41.2,1155
GL,48.69,1.75,15.94,,,,11.03,,0.19,7.41,11.86,,2.7,0.2,0.14,,,0.37,,,,,,,,,73.3,48.1,1348
GL,48.46,1.41,16.51,,,,10.37,,0.2,8.33,12.27,,2.61,0.16,0.13,,,0.35,,,,,,,,,136,48.6,1132
GL,48.75,1.76,15.5,,,,11.05,,0.21,7.32,12.03,,3.02,0.18,0.13,,,0.43,,,,,,,,,60.9,43.4,1360
GL,49.3,1.81,15.1,,,,11.37,,0.2,7.39,11.3,,3.12,0.21,0.16,,,,,,,,,,,,56.4,49,1110
GL,48.56,1.46,16.76,,,,9.1,,0.17,8.21,12.59,,2.42,0.26,0.14,,,0.59,,,,,,,,,103,41.1,1064
GL,49.2,1.3,16.4,,,,10.23,,0.2,8.51,11.6,,2.57,0.17,0.13,,,,,,,,,,,,163,51.1,914.75
GL,48.75,0.75,18.38,,,,8.06,,0.16,9.8,12.73,,1.95,0.06,0.07,,,0.26,,,,,,,,,239,47.2,728
GL,51.3,1.87,14.43,,,,11.99,,0.22,5.85,11.14,,2.97,0.27,0.14,,,0.5,,,,,,,,,35.6,38.3,1487
GL,49.5,1.54,15.7,,,,11.11,,0.16,7.93,10.4,,2.87,0.27,0.09,,,,,,,,,,,,188,54.6,1166.4
GL,50.09,1.44,15.67,,,,10.84,,0.16,7.93,10.75,,2.75,0.25,0.1,,,0.35,,,,,,,,,145,46,1228
GL,48.4,1.31,17.3,,,,9.06,,0.16,8.77,11.8,,2.49,0.21,0.14,,,,,,,,,,,,147,51.5,808.8
GL,48.7,1.29,17.35,,,,8.94,,0.15,8.51,12.37,,2.41,0.21,0.12,,,0.46,,,,,,,,,142,45.6,928
GL,49.93,2.03,14.49,,,,12.08,,0.19,5.65,10.86,,3.08,0.46,0.2,,,0.78,,,,,,,,,30.6,43.4,1522
GL,50.98,1.76,14.84,,,,10.88,,0.21,6.56,11.18,,3.04,0.25,0.12,,,0.43,,,,,,,,,39,35.1,1280
GL,50.8,1.78,14.6,,,,10.03,,0.21,6.5,10.6,,3.12,0.24,0.15,,,,,,,,,,,,50.7,44.5,1171
GL,51.52,1.79,15.15,,,,11.1,,0.22,5.85,9.98,,3.05,0.57,0.19,,,0.77,,,,,,,,,82.2,42.3,1220
GL,49.2,1.58,15.4,,,,10.06,,0.19,7.67,11.6,,2.53,0.14,0.16,,,,,,,,,,,,119,49.2,1077.6
GL,49.09,1.54,15.52,,,,10.58,,0.19,8.21,12.28,,2.45,0.16,0.13,,,0.46,,,,,,,,,122,44.6,1136
GL,52.3,2.4,12.5,,,,15.55,,0.3,3.79,7.97,,3.4,0.26,0.43,,,,,,,,,,,,16.5,47.1,1703.6
GL,49.9,1.19,15.7,,,,9.83,,0.19,8.24,12.5,,2.35,0.1,0.08,,,,,,,,,,,,118,51.3,897.6
GL,49.63,1.12,15.52,,,,10.13,,0.19,8.39,12.87,,2.16,0.08,0.09,,,0.23,,,,,,,,,142,47.6,896
GL,63.92,0.9,12.89,,,,9.88,,0.22,1.28,4.54,,3.66,0.75,0.24,,,1.34,,,,,,,,,1.75,9.62,382
GL,62,1.22,14.1,,,,8.28,,0.18,2,5.05,,4.71,0.77,0.32,,,,,,,,,,,,11.9,19.1,423
GL,50.05,1.37,15.47,,,,9.82,,0.2,7.06,12.4,,2.2,0.32,0.14,,,1.08,,,,,,,,,59.2,37.1,1023
GL,61.41,1.27,13.96,,,,9.15,,0.22,2.19,5.59,,4.22,0.8,0.26,,,1.28,,,,,,,,,14.6,18.8,506
GL,61.71,1.21,14.09,,,,8.94,,0.18,2.55,5.46,,4.15,0.86,0.27,,,1.24,,,,,,,,,12.3,17.3,415
GL,49.7,1.07,15.6,,,,9.18,,0.19,8.51,12.5,,2.28,0.04,0.07,,,,,,,,,,,,114,51.5,855.8
GL,49.75,1.05,15.52,,,,9.77,,0.18,8.15,13.21,,2.07,0.04,0.07,,,0.11,,,,,,,,,103,46.6,798
GL,50.1,1.66,14.1,,,,10.86,,0.21,6.82,11.1,,2.73,0.12,0.12,,,,,,,,,,,,68.2,50.4,1256.2
GL,50.26,1.64,14.18,,,,11.94,,0.21,6.88,11.91,,2.59,0.14,0.14,,,0.37,,,,,,,,,53.2,39.8,1251
GL,50.39,1.63,13.94,,,,12.4,,0.22,6.57,11.66,,2.77,0.12,0.13,,,0.3,,,,,,,,,44.8,40.7,1332
GL,49.7,2.22,13.1,,,,14,,0.28,5.34,10,,2.77,0.19,0.19,,,,,,,,,,,,42.3,52.4,1672.25
GL,50.57,1.62,14.72,,,,10.81,,0.2,6.38,11.69,,2.54,0.52,0.26,,,0.71,,,,,,,,,49.4,39.8,1155
GL,50.47,1.57,14.91,,,,10.74,,0.21,6.47,11.83,,2.47,0.51,0.24,,,0.66,,,,,,,,,55.9,42.9,1136
GL,50.1,1.99,13.2,,,,13.91,,0.26,5.79,10.5,,2.58,0.13,0.14,,,,,,,,,,,,46.6,53.1,1531.8
GL,50.12,1.98,13.23,,,,14.28,,0.27,5.98,10.83,,2.69,0.14,0.19,,,0.36,,,,,,,,,47.4,49.8,1629
GL,49.98,1.68,13.46,,,,12.76,,0.23,6.27,11.45,,2.63,0.11,0.14,,,0.26,,,,,,,,,51.4,46.9,1431
GL,50,1.6,14,,,,11.01,,0.23,6.72,11.1,,2.66,0.14,0.14,,,,,,,,,,,,59.7,53,1247.2
GL,49.83,1.56,13.81,,,,12.44,,0.25,6.5,11.89,,2.58,0.14,0.12,,,0.33,,,,,,,,,45.5,42.6,1262
GL,49.3,1.08,15.3,,,,10.47,,0.19,8.36,12.7,,2.14,0.04,0.05,,,,,,,,,,,,114,52.4,879.4
GL,49.53,1.11,15.52,,,,9.73,,0.2,8.36,13.31,,2.15,0.04,0.08,,,0.15,,,,,,,,,98.2,43.6,874
GL,49.7,1.35,14.4,,,,11.9,,0.21,7.52,12.4,,2.32,0.06,0.09,,,,,,,,,,,,84,52.5,1063.8
GL,50.2,1.42,14.05,,,,12.03,,0.23,7.04,12.07,,2.54,0.09,0.1,,,0.25,,,,,,,,,70,47.9,1250
GL,49.7,1.19,15.3,,,,10.04,,0.16,8.07,12.3,,2.34,0.12,0.11,,,,,,,,,,,,122,48.8,831
GL,49.26,1.14,16.05,,,,9.17,,0.17,8.7,13.52,,2.25,0.09,0.11,,,0.2,,,,,,,,,135,45.8,907
GL,48.6,1.1,16.2,,,,9.62,,0.16,8.73,13.1,,1.97,0.1,0.11,,,,,,,,,,,,138,50.6,854.4
GL,48.96,1.1,16.22,,,,8.83,,0.16,8.8,13.66,,2.13,0.1,0.1,,,0.22,,,,,,,,,115,42.1,861
GL,48.35,1.41,16.19,,,,9.87,,0.18,8.82,12.06,,2.78,0.03,0.09,,,0.12,,,,,,,,,160,41.2,929
GL,50.06,0.89,15.15,,,,9.59,,0.2,8.21,13.63,,2.22,0.04,0.06,,,0.1,,,,,,,,,72.2,40.6,995
GL,50.94,1.11,14.38,,,,11.44,,0.21,7.17,12.36,,2.46,0.05,0.07,,,0.21,,,,,,,,,59.1,49.6,1153
GL,49.9,1.12,14.3,,,,11.22,,0.19,7.53,12,,2.39,0.04,0.06,,,,,,,,,,,,76,51.2,1119.6
GL,50.62,1.01,15.1,,,,9.9,,0.2,8.03,13.01,,2.3,0.04,0.06,,,0.15,,,,,,,,,102.6,49.4,1029
